deskripsi,category,source,deskripsi_clean,text_length
tissue,belanja,df2,tissue,6
kebutuhan pokok,belanja,df2,kebutuhan pokok,15
kopi pagi,makanan,df2,kopi pagi,9
kebutuhan pokok,belanja,df2,kebutuhan pokok,15
warung nasi,makanan,df2,warung nasi,11
warung nasi,makanan,df2,warung nasi,11
belanja mingguan,belanja,df2,belanja mingguan,16
makan siang,makanan,df2,makan siang,11
indomaret,belanja,df2,indomaret,9
listrik,tagihan,df2,listrik,7
internet,tagihan,df2,internet,8
kopi pagi,makanan,df2,kopi pagi,9
gofood,makanan,df2,gofood,6
cemilan,makanan,df2,cemilan,7
warung nasi,makanan,df2,warung nasi,11
gofood,makanan,df2,gofood,6
makan malam,makanan,df2,makan malam,11
makan siang,makanan,df2,makan siang,11
indomaret,belanja,df2,indomaret,9
bpjs,tagihan,df2,bpjs,4
internet,tagihan,df2,internet,8
kopi pagi,makanan,df2,kopi pagi,9
indomaret,belanja,df2,indomaret,9
alfamart,belanja,df2,alfamart,8
iuran bulanan,tagihan,df2,iuran bulanan,13
cemilan,makanan,df2,cemilan,7
pulsa,tagihan,df2,pulsa,5
air,tagihan,df2,air,3
tissue,belanja,df2,tissue,6
bpjs,tagihan,df2,bpjs,4
iuran bulanan,tagihan,df2,iuran bulanan,13
internet,tagihan,df2,internet,8
kebutuhan pokok,belanja,df2,kebutuhan pokok,15
pulsa,tagihan,df2,pulsa,5
parkir,tagihan,df2,parkir,6
tissue,belanja,df2,tissue,6
indomaret,belanja,df2,indomaret,9
indomaret,belanja,df2,indomaret,9
internet,tagihan,df2,internet,8
streaming,hiburan,df2,streaming,9
alfamart,belanja,df2,alfamart,8
bpjs,tagihan,df2,bpjs,4
jajan sore,makanan,df2,jajan sore,10
parkir,tagihan,df2,parkir,6
internet,tagihan,df2,internet,8
alfamart,belanja,df2,alfamart,8
iuran bulanan,tagihan,df2,iuran bulanan,13
cemilan,makanan,df2,cemilan,7
indomaret,belanja,df2,indomaret,9
gofood,makanan,df2,gofood,6
tissue,belanja,df2,tissue,6
streaming,hiburan,df2,streaming,9
tissue,belanja,df2,tissue,6
pulsa,tagihan,df2,pulsa,5
cemilan,makanan,df2,cemilan,7
gofood,makanan,df2,gofood,6
bpjs,tagihan,df2,bpjs,4
air,tagihan,df2,air,3
gofood,makanan,df2,gofood,6
makan malam,makanan,df2,makan malam,11
tissue,belanja,df2,tissue,6
gofood,makanan,df2,gofood,6
air,tagihan,df2,air,3
makan malam,makanan,df2,makan malam,11
iuran bulanan,tagihan,df2,iuran bulanan,13
iuran bulanan,tagihan,df2,iuran bulanan,13
tissue,belanja,df2,tissue,6
jajan sore,makanan,df2,jajan sore,10
internet,tagihan,df2,internet,8
parkir,tagihan,df2,parkir,6
gofood,makanan,df2,gofood,6
cashback,tagihan,df2,cashback,8
jajan sore,makanan,df2,jajan sore,10
jajan sore,makanan,df2,jajan sore,10
belanja mingguan,belanja,df2,belanja mingguan,16
pulsa,tagihan,df2,pulsa,5
pulsa,tagihan,df2,pulsa,5
pulsa,tagihan,df2,pulsa,5
makan siang,makanan,df2,makan siang,11
gofood,makanan,df2,gofood,6
bpjs,tagihan,df2,bpjs,4
makan malam,makanan,df2,makan malam,11
listrik,tagihan,df2,listrik,7
warung nasi,makanan,df2,warung nasi,11
jajan sore,makanan,df2,jajan sore,10
kopi pagi,makanan,df2,kopi pagi,9
kopi pagi,makanan,df2,kopi pagi,9
cashback,tagihan,df2,cashback,8
air,tagihan,df2,air,3
indomaret,belanja,df2,indomaret,9
warung nasi,makanan,df2,warung nasi,11
bpjs,tagihan,df2,bpjs,4
internet,tagihan,df2,internet,8
warung nasi,makanan,df2,warung nasi,11
pulsa,tagihan,df2,pulsa,5
warung nasi,makanan,df2,warung nasi,11
kopi pagi,makanan,df2,kopi pagi,9
makan siang,makanan,df2,makan siang,11
listrik,tagihan,df2,listrik,7
air,tagihan,df2,air,3
jajan sore,makanan,df2,jajan sore,10
kopi pagi,makanan,df2,kopi pagi,9
kopi pagi,makanan,df2,kopi pagi,9
cashback,tagihan,df2,cashback,8
indomaret,belanja,df2,indomaret,9
belanja mingguan,belanja,df2,belanja mingguan,16
makan malam,makanan,df2,makan malam,11
cashback,tagihan,df2,cashback,8
internet,tagihan,df2,internet,8
bpjs,tagihan,df2,bpjs,4
warung nasi,makanan,df2,warung nasi,11
belanja mingguan,belanja,df2,belanja mingguan,16
listrik,tagihan,df2,listrik,7
warung nasi,makanan,df2,warung nasi,11
warung nasi,makanan,df2,warung nasi,11
belanja mingguan,belanja,df2,belanja mingguan,16
jajan sore,makanan,df2,jajan sore,10
listrik,tagihan,df2,listrik,7
belanja mingguan,belanja,df2,belanja mingguan,16
jajan sore,makanan,df2,jajan sore,10
warung nasi,makanan,df2,warung nasi,11
air,tagihan,df2,air,3
cashback,tagihan,df2,cashback,8
gofood,makanan,df2,gofood,6
belanja mingguan,belanja,df2,belanja mingguan,16
gofood,makanan,df2,gofood,6
internet,tagihan,df2,internet,8
cashback,tagihan,df2,cashback,8
warung nasi,makanan,df2,warung nasi,11
makan malam,makanan,df2,makan malam,11
cashback,tagihan,df2,cashback,8
belanja mingguan,belanja,df2,belanja mingguan,16
makan malam,makanan,df2,makan malam,11
listrik,tagihan,df2,listrik,7
internet,tagihan,df2,internet,8
makan malam,makanan,df2,makan malam,11
air,tagihan,df2,air,3
listrik,tagihan,df2,listrik,7
air,tagihan,df2,air,3
air,tagihan,df2,air,3
makan malam,makanan,df2,makan malam,11
makan malam,makanan,df2,makan malam,11
belanja mingguan,belanja,df2,belanja mingguan,16
air,tagihan,df2,air,3
cashback,tagihan,df2,cashback,8
cashback,tagihan,df2,cashback,8
bpjs,tagihan,df2,bpjs,4
air,tagihan,df2,air,3
internet,tagihan,df2,internet,8
cashback,tagihan,df2,cashback,8
bpjs,tagihan,df2,bpjs,4
cashback,tagihan,df2,cashback,8
cashback,tagihan,df2,cashback,8
bpjs,tagihan,df2,bpjs,4
bpjs,tagihan,df2,bpjs,4
cashback,tagihan,df2,cashback,8
bpjs,tagihan,df2,bpjs,4
bpjs,tagihan,df2,bpjs,4
warung makan,makanan,synthetic,warung makan,12
warteg,makanan,synthetic,warteg,6
warung padang,makanan,synthetic,warung padang,13
warung soto,makanan,synthetic,warung soto,11
warung bu sari,makanan,synthetic,warung bu sari,14
warung pak budi,makanan,synthetic,warung budi,11
nasi uduk,makanan,synthetic,nasi uduk,9
nasi kuning,makanan,synthetic,nasi kuning,11
nasi padang,makanan,synthetic,nasi padang,11
nasi goreng,makanan,synthetic,nasi goreng,11
nasi campur,makanan,synthetic,nasi campur,11
nasi pecel,makanan,synthetic,nasi pecel,10
nasi liwet,makanan,synthetic,nasi liwet,10
nasi bakar,makanan,synthetic,nasi bakar,10
nasi box,makanan,synthetic,nasi box,8
nasi bungkus,makanan,synthetic,nasi bungkus,12
makan pagi,makanan,synthetic,makan pagi,10
sarapan,makanan,synthetic,sarapan,7
makan di warteg,makanan,synthetic,makan warteg,12
makan di kantin,makanan,synthetic,makan kantin,12
makan di warung,makanan,synthetic,makan warung,12
kfc,makanan,synthetic,kfc,3
mcdonalds,makanan,synthetic,mcdonalds,9
burger king,makanan,synthetic,burger king,11
pizza hut,makanan,synthetic,pizza hut,9
dominos pizza,makanan,synthetic,dominos pizza,13
ayam geprek,makanan,synthetic,ayam geprek,11
ayam penyet,makanan,synthetic,ayam penyet,11
ayam bakar,makanan,synthetic,ayam bakar,10
ayam goreng,makanan,synthetic,ayam goreng,11
ayam lalapan,makanan,synthetic,ayam lalapan,12
bakso solo,makanan,synthetic,bakso solo,10
bakso malang,makanan,synthetic,bakso malang,12
bakso pak kumis,makanan,synthetic,bakso kumis,11
mie ayam,makanan,synthetic,mie ayam,8
mie bakso,makanan,synthetic,mie bakso,9
soto ayam,makanan,synthetic,soto ayam,9
soto betawi,makanan,synthetic,soto betawi,11
soto lamongan,makanan,synthetic,soto lamongan,13
rawon,makanan,synthetic,rawon,5
opor ayam,makanan,synthetic,opor ayam,9
rendang,makanan,synthetic,rendang,7
gulai,makanan,synthetic,gulai,5
sate ayam,makanan,synthetic,sate ayam,9
sate kambing,makanan,synthetic,sate kambing,12
sate padang,makanan,synthetic,sate padang,11
kopi susu,makanan,synthetic,kopi susu,9
kopi hitam,makanan,synthetic,kopi hitam,10
kopi jahe,makanan,synthetic,kopi jahe,9
kopi aren,makanan,synthetic,kopi aren,9
kopi tubruk,makanan,synthetic,kopi tubruk,11
es teh,makanan,synthetic,es teh,6
es jeruk,makanan,synthetic,es jeruk,8
es campur,makanan,synthetic,es campur,9
es buah,makanan,synthetic,es buah,7
es dawet,makanan,synthetic,es dawet,8
teh tarik,makanan,synthetic,teh tarik,9
thai tea,makanan,synthetic,thai tea,8
boba,makanan,synthetic,boba,4
matcha latte,makanan,synthetic,matcha latte,12
susu segar,makanan,synthetic,susu segar,10
jus alpukat,makanan,synthetic,jus alpukat,11
jus mangga,makanan,synthetic,jus mangga,10
jus jambu,makanan,synthetic,jus jambu,9
jus semangka,makanan,synthetic,jus semangka,12
jus jeruk,makanan,synthetic,jus jeruk,9
air mineral aqua,makanan,synthetic,air mineral aqua,16
pocari sweat,makanan,synthetic,pocari sweat,12
mizone,makanan,synthetic,mizone,6
sprite,makanan,synthetic,sprite,6
coca cola,makanan,synthetic,coca cola,9
indomie goreng,makanan,synthetic,indomie goreng,14
indomie rebus,makanan,synthetic,indomie rebus,13
indomie kuah,makanan,synthetic,indomie kuah,12
mie sedaap,makanan,synthetic,mie sedaap,10
supermi,makanan,synthetic,supermi,7
pop mie,makanan,synthetic,pop mie,7
sarimi,makanan,synthetic,sarimi,6
mie telur,makanan,synthetic,mie telur,9
bihun,makanan,synthetic,bihun,5
kwetiau,makanan,synthetic,kwetiau,7
khong guan,makanan,synthetic,khong guan,10
roma marie,makanan,synthetic,roma marie,10
oreo,makanan,synthetic,oreo,4
biskuit,makanan,synthetic,biskuit,7
wafer tango,makanan,synthetic,wafer tango,11
chitato,makanan,synthetic,chitato,7
lays,makanan,synthetic,lays,4
cheetos,makanan,synthetic,cheetos,7
qtela,makanan,synthetic,qtela,5
piattos,makanan,synthetic,piattos,7
richeese,makanan,synthetic,richeese,8
nabati,makanan,synthetic,nabati,6
beng beng,makanan,synthetic,beng beng,9
silverqueen,makanan,synthetic,silverqueen,11
cadbury,makanan,synthetic,cadbury,7
sayur bayam,makanan,synthetic,sayur bayam,11
sayur kangkung,makanan,synthetic,sayur kangkung,14
sayur wortel,makanan,synthetic,sayur wortel,12
sayur buncis,makanan,synthetic,sayur buncis,12
sayur kol,makanan,synthetic,sayur kol,9
beli sayuran,makanan,synthetic,beli sayuran,12
sayuran segar,makanan,synthetic,sayuran segar,13
brokoli,makanan,synthetic,brokoli,7
tomat,makanan,synthetic,tomat,5
cabai merah,makanan,synthetic,cabai merah,11
bawang merah,makanan,synthetic,bawang merah,12
bawang putih,makanan,synthetic,bawang putih,12
bawang bombay,makanan,synthetic,bawang bombay,13
kentang,makanan,synthetic,kentang,7
singkong,makanan,synthetic,singkong,8
tempe,makanan,synthetic,tempe,5
tahu,makanan,synthetic,tahu,4
tahu goreng,makanan,synthetic,goreng,6
tempe goreng,makanan,synthetic,tempe goreng,12
oncom,makanan,synthetic,oncom,5
telur ayam,makanan,synthetic,telur ayam,10
telur bebek,makanan,synthetic,telur bebek,11
daging ayam,makanan,synthetic,daging ayam,11
daging sapi,makanan,synthetic,daging sapi,11
ikan lele,makanan,synthetic,ikan lele,9
ikan mas,makanan,synthetic,ikan mas,8
ikan tongkol,makanan,synthetic,ikan tongkol,12
udang,makanan,synthetic,udang,5
cumi,makanan,synthetic,cumi,4
bakso mentah,makanan,synthetic,bakso mentah,12
beras 5kg,makanan,synthetic,beras kg,8
beras 10kg,makanan,synthetic,beras kg,8
tepung terigu,makanan,synthetic,tepung terigu,13
gula pasir,makanan,synthetic,gula pasir,10
garam,makanan,synthetic,garam,5
minyak goreng,makanan,synthetic,minyak goreng,13
santan,makanan,synthetic,santan,6
kecap manis,makanan,synthetic,kecap manis,11
saus sambal,makanan,synthetic,saus sambal,11
terasi,makanan,synthetic,terasi,6
starbucks,makanan,synthetic,starbucks,9
kopi kenangan,makanan,synthetic,kopi kenangan,13
janji jiwa,makanan,synthetic,janji jiwa,10
fore coffee,makanan,synthetic,fore coffee,11
anomali coffee,makanan,synthetic,anomali coffee,14
cerita kopi,makanan,synthetic,cerita kopi,11
kopi tuku,makanan,synthetic,kopi tuku,9
good day coffee,makanan,synthetic,good day coffee,15
nescafe,makanan,synthetic,nescafe,7
kapal api,makanan,synthetic,kapal api,9
beli kopi,makanan,synthetic,beli kopi,9
ngopi,makanan,synthetic,ngopi,5
kafe,makanan,synthetic,kafe,4
coffee shop,makanan,synthetic,coffee shop,11
kedai kopi,makanan,synthetic,kedai kopi,10
martabak manis,makanan,synthetic,martabak manis,14
martabak telur,makanan,synthetic,martabak telur,14
terang bulan,makanan,synthetic,terang,6
pisang goreng,makanan,synthetic,pisang goreng,13
ubi goreng,makanan,synthetic,ubi goreng,10
gorengan,makanan,synthetic,gorengan,8
cireng,makanan,synthetic,cireng,6
batagor,makanan,synthetic,batagor,7
siomay,makanan,synthetic,siomay,6
bubur ayam,makanan,synthetic,bubur ayam,10
bubur kacang ijo,makanan,synthetic,bubur kacang ijo,16
kolak,makanan,synthetic,kolak,5
klepon,makanan,synthetic,klepon,6
onde onde,makanan,synthetic,onde onde,9
getuk,makanan,synthetic,getuk,5
es krim walls,makanan,synthetic,es krim walls,13
es krim aice,makanan,synthetic,es krim aice,12
gelato,makanan,synthetic,gelato,6
pudding,makanan,synthetic,pudding,7
donat,makanan,synthetic,donat,5
roti bakar,makanan,synthetic,roti bakar,10
roti buaya,makanan,synthetic,roti buaya,10
croissant,makanan,synthetic,croissant,9
sandwich,makanan,synthetic,sandwich,8
pancake,makanan,synthetic,pancake,7
grabfood,makanan,synthetic,grabfood,8
shopeefood,makanan,synthetic,shopeefood,10
delivery makanan,makanan,synthetic,delivery makanan,16
pesan makanan online,makanan,synthetic,pesan makanan online,20
order gofood,makanan,synthetic,order gofood,12
ojek makanan,makanan,synthetic,ojek makanan,12
makan delivery,makanan,synthetic,makan delivery,14
beli makan online,makanan,synthetic,beli makan online,17
warung makan,makanan,synthetic,warung makan,12
warteg,makanan,synthetic,warteg,6
warung padang,makanan,synthetic,warung padang,13
warung soto,makanan,synthetic,warung soto,11
warung bu sari,makanan,synthetic,warung bu sari,14
warung pak budi,makanan,synthetic,warung budi,11
nasi uduk,makanan,synthetic,nasi uduk,9
nasi kuning,makanan,synthetic,nasi kuning,11
nasi padang,makanan,synthetic,nasi padang,11
nasi goreng,makanan,synthetic,nasi goreng,11
nasi campur,makanan,synthetic,nasi campur,11
nasi pecel,makanan,synthetic,nasi pecel,10
nasi liwet,makanan,synthetic,nasi liwet,10
nasi bakar,makanan,synthetic,nasi bakar,10
nasi box,makanan,synthetic,nasi box,8
nasi bungkus,makanan,synthetic,nasi bungkus,12
makan pagi,makanan,synthetic,makan pagi,10
sarapan,makanan,synthetic,sarapan,7
makan di warteg,makanan,synthetic,makan warteg,12
makan di kantin,makanan,synthetic,makan kantin,12
makan di warung,makanan,synthetic,makan warung,12
kfc,makanan,synthetic,kfc,3
mcdonalds,makanan,synthetic,mcdonalds,9
burger king,makanan,synthetic,burger king,11
pizza hut,makanan,synthetic,pizza hut,9
dominos pizza,makanan,synthetic,dominos pizza,13
ayam geprek,makanan,synthetic,ayam geprek,11
ayam penyet,makanan,synthetic,ayam penyet,11
ayam bakar,makanan,synthetic,ayam bakar,10
ayam goreng,makanan,synthetic,ayam goreng,11
ayam lalapan,makanan,synthetic,ayam lalapan,12
bakso solo,makanan,synthetic,bakso solo,10
bakso malang,makanan,synthetic,bakso malang,12
bakso pak kumis,makanan,synthetic,bakso kumis,11
mie ayam,makanan,synthetic,mie ayam,8
mie bakso,makanan,synthetic,mie bakso,9
soto ayam,makanan,synthetic,soto ayam,9
soto betawi,makanan,synthetic,soto betawi,11
soto lamongan,makanan,synthetic,soto lamongan,13
rawon,makanan,synthetic,rawon,5
opor ayam,makanan,synthetic,opor ayam,9
rendang,makanan,synthetic,rendang,7
gulai,makanan,synthetic,gulai,5
sate ayam,makanan,synthetic,sate ayam,9
sate kambing,makanan,synthetic,sate kambing,12
sate padang,makanan,synthetic,sate padang,11
kopi susu,makanan,synthetic,kopi susu,9
kopi hitam,makanan,synthetic,kopi hitam,10
kopi jahe,makanan,synthetic,kopi jahe,9
kopi aren,makanan,synthetic,kopi aren,9
kopi tubruk,makanan,synthetic,kopi tubruk,11
es teh,makanan,synthetic,es teh,6
es jeruk,makanan,synthetic,es jeruk,8
es campur,makanan,synthetic,es campur,9
es buah,makanan,synthetic,es buah,7
es dawet,makanan,synthetic,es dawet,8
teh tarik,makanan,synthetic,teh tarik,9
thai tea,makanan,synthetic,thai tea,8
boba,makanan,synthetic,boba,4
matcha latte,makanan,synthetic,matcha latte,12
susu segar,makanan,synthetic,susu segar,10
jus alpukat,makanan,synthetic,jus alpukat,11
jus mangga,makanan,synthetic,jus mangga,10
jus jambu,makanan,synthetic,jus jambu,9
jus semangka,makanan,synthetic,jus semangka,12
jus jeruk,makanan,synthetic,jus jeruk,9
air mineral aqua,makanan,synthetic,air mineral aqua,16
pocari sweat,makanan,synthetic,pocari sweat,12
mizone,makanan,synthetic,mizone,6
sprite,makanan,synthetic,sprite,6
coca cola,makanan,synthetic,coca cola,9
indomie goreng,makanan,synthetic,indomie goreng,14
indomie rebus,makanan,synthetic,indomie rebus,13
indomie kuah,makanan,synthetic,indomie kuah,12
mie sedaap,makanan,synthetic,mie sedaap,10
supermi,makanan,synthetic,supermi,7
pop mie,makanan,synthetic,pop mie,7
sarimi,makanan,synthetic,sarimi,6
mie telur,makanan,synthetic,mie telur,9
bihun,makanan,synthetic,bihun,5
kwetiau,makanan,synthetic,kwetiau,7
khong guan,makanan,synthetic,khong guan,10
roma marie,makanan,synthetic,roma marie,10
oreo,makanan,synthetic,oreo,4
biskuit,makanan,synthetic,biskuit,7
wafer tango,makanan,synthetic,wafer tango,11
chitato,makanan,synthetic,chitato,7
lays,makanan,synthetic,lays,4
cheetos,makanan,synthetic,cheetos,7
qtela,makanan,synthetic,qtela,5
piattos,makanan,synthetic,piattos,7
richeese,makanan,synthetic,richeese,8
nabati,makanan,synthetic,nabati,6
beng beng,makanan,synthetic,beng beng,9
silverqueen,makanan,synthetic,silverqueen,11
cadbury,makanan,synthetic,cadbury,7
sayur bayam,makanan,synthetic,sayur bayam,11
sayur kangkung,makanan,synthetic,sayur kangkung,14
sayur wortel,makanan,synthetic,sayur wortel,12
sayur buncis,makanan,synthetic,sayur buncis,12
sayur kol,makanan,synthetic,sayur kol,9
beli sayuran,makanan,synthetic,beli sayuran,12
sayuran segar,makanan,synthetic,sayuran segar,13
brokoli,makanan,synthetic,brokoli,7
tomat,makanan,synthetic,tomat,5
cabai merah,makanan,synthetic,cabai merah,11
bawang merah,makanan,synthetic,bawang merah,12
bawang putih,makanan,synthetic,bawang putih,12
bawang bombay,makanan,synthetic,bawang bombay,13
bensin,transportasi,synthetic,bensin,6
isi bensin,transportasi,synthetic,isi bensin,10
beli bensin,transportasi,synthetic,beli bensin,11
bensin pertamax,transportasi,synthetic,bensin pertamax,15
bensin pertalite,transportasi,synthetic,bensin pertalite,16
bensin premium,transportasi,synthetic,bensin premium,14
solar,transportasi,synthetic,solar,5
isi solar,transportasi,synthetic,isi solar,9
bbm,transportasi,synthetic,bbm,3
isi bbm,transportasi,synthetic,isi bbm,7
pertamina,transportasi,synthetic,pertamina,9
shell,transportasi,synthetic,shell,5
vivo bbm,transportasi,synthetic,vivo bbm,8
isi full tank,transportasi,synthetic,isi full tank,13
bensin motor,transportasi,synthetic,bensin motor,12
bensin mobil,transportasi,synthetic,bensin mobil,12
isi tangki,transportasi,synthetic,isi tangki,10
beli solar,transportasi,synthetic,beli solar,10
pertamax plus,transportasi,synthetic,pertamax plus,13
dex pertamina,transportasi,synthetic,dex pertamina,13
gojek,transportasi,synthetic,gojek,5
grab motor,transportasi,synthetic,grab motor,10
grab car,transportasi,synthetic,grab car,8
gocar,transportasi,synthetic,gocar,5
maxim,transportasi,synthetic,maxim,5
indriver,transportasi,synthetic,indriver,8
blu jek,transportasi,synthetic,blu jek,7
ojek online,transportasi,synthetic,ojek online,11
ojol,transportasi,synthetic,ojol,4
naik grab,transportasi,synthetic,grab,4
pesan gojek,transportasi,synthetic,pesan gojek,11
order grab,transportasi,synthetic,order grab,10
naik gojek,transportasi,synthetic,gojek,5
ojek ke kantor,transportasi,synthetic,ojek kantor,11
grab ke mall,transportasi,synthetic,grab mall,9
taksi online,transportasi,synthetic,taksi online,12
ride sharing,transportasi,synthetic,ride sharing,12
naik ojek,transportasi,synthetic,ojek,4
ongkos ojek,transportasi,synthetic,ongkos ojek,11
bayar grab,transportasi,synthetic,bayar grab,10
busway,transportasi,synthetic,busway,6
transjakarta,transportasi,synthetic,transjakarta,12
bis kota,transportasi,synthetic,bis kota,8
angkot,transportasi,synthetic,angkot,6
kereta commuter,transportasi,synthetic,kereta commuter,15
commuterline,transportasi,synthetic,commuterline,12
krl,transportasi,synthetic,krl,3
mrt jakarta,transportasi,synthetic,mrt jakarta,11
lrt,transportasi,synthetic,lrt,3
kereta api,transportasi,synthetic,kereta api,10
tiket kereta,transportasi,synthetic,tiket kereta,12
kai,transportasi,synthetic,kai,3
naik krl,transportasi,synthetic,krl,3
naik mrt,transportasi,synthetic,mrt,3
bus antar kota,transportasi,synthetic,bus kota,8
bus damri,transportasi,synthetic,bus damri,9
bus primajasa,transportasi,synthetic,bus primajasa,13
travel bus,transportasi,synthetic,travel bus,10
tiket bus,transportasi,synthetic,tiket bus,9
bentor,transportasi,synthetic,bentor,6
becak,transportasi,synthetic,becak,5
bajaj,transportasi,synthetic,bajaj,5
bemo,transportasi,synthetic,bemo,4
mikrolet,transportasi,synthetic,mikrolet,8
parkir motor,transportasi,synthetic,parkir motor,12
parkir mobil,transportasi,synthetic,parkir mobil,12
bayar parkir,transportasi,synthetic,bayar parkir,12
karcis parkir,transportasi,synthetic,karcis parkir,13
parkir mall,transportasi,synthetic,parkir mall,11
tol,transportasi,synthetic,tol,3
bayar tol,transportasi,synthetic,bayar tol,9
etoll,transportasi,synthetic,etoll,5
tol jagorawi,transportasi,synthetic,tol jagorawi,12
tol cipularang,transportasi,synthetic,tol cipularang,14
tol dalam kota,transportasi,synthetic,tol kota,8
biaya tol,transportasi,synthetic,biaya tol,9
masuk tol,transportasi,synthetic,tol,3
tiket tol,transportasi,synthetic,tiket tol,9
isi etoll,transportasi,synthetic,isi etoll,9
servis motor,transportasi,synthetic,servis motor,12
servis mobil,transportasi,synthetic,servis mobil,12
ganti oli,transportasi,synthetic,ganti oli,9
oli mesin,transportasi,synthetic,oli mesin,9
oli gardan,transportasi,synthetic,oli gardan,10
tambal ban,transportasi,synthetic,tambal ban,10
ganti ban,transportasi,synthetic,ganti ban,9
ban baru,transportasi,synthetic,ban,3
ban motor,transportasi,synthetic,ban motor,9
ban mobil,transportasi,synthetic,ban mobil,9
aki motor,transportasi,synthetic,aki motor,9
aki mobil,transportasi,synthetic,aki mobil,9
ganti aki,transportasi,synthetic,ganti aki,9
tune up motor,transportasi,synthetic,tune up motor,13
tune up mobil,transportasi,synthetic,tune up mobil,13
bengkel motor,transportasi,synthetic,bengkel motor,13
bengkel mobil,transportasi,synthetic,bengkel mobil,13
cuci motor,transportasi,synthetic,cuci motor,10
cuci mobil,transportasi,synthetic,cuci mobil,10
poles mobil,transportasi,synthetic,poles mobil,11
ganti kampas rem,transportasi,synthetic,ganti kampas rem,16
ganti busi,transportasi,synthetic,ganti busi,10
filter udara,transportasi,synthetic,filter udara,12
radiator,transportasi,synthetic,radiator,8
rantai motor,transportasi,synthetic,rantai motor,12
tiket pesawat,transportasi,synthetic,tiket pesawat,13
lion air,transportasi,synthetic,lion air,8
garuda indonesia,transportasi,synthetic,garuda indonesia,16
citilink,transportasi,synthetic,citilink,8
airasia,transportasi,synthetic,airasia,7
batik air,transportasi,synthetic,batik air,9
sriwijaya air,transportasi,synthetic,sriwijaya air,13
tiket kereta api,transportasi,synthetic,tiket kereta api,16
tiket kapal,transportasi,synthetic,tiket kapal,11
tiket ferry,transportasi,synthetic,tiket ferry,11
tiket travel,transportasi,synthetic,tiket travel,12
ongkir travel,transportasi,synthetic,ongkir travel,13
biaya perjalanan,transportasi,synthetic,biaya perjalanan,16
tiket pp,transportasi,synthetic,tiket pp,8
tiket pulang,transportasi,synthetic,tiket pulang,12
sewa motor,transportasi,synthetic,sewa motor,10
rental motor,transportasi,synthetic,rental motor,12
sewa mobil,transportasi,synthetic,sewa mobil,10
rental mobil,transportasi,synthetic,rental mobil,12
sewa scooter,transportasi,synthetic,sewa scooter,12
rent car,transportasi,synthetic,rent car,8
grab rental,transportasi,synthetic,grab rental,11
gocar sewa,transportasi,synthetic,gocar sewa,10
sewa sepeda,transportasi,synthetic,sewa sepeda,11
bike sharing,transportasi,synthetic,bike sharing,12
isi saldo emoney,transportasi,synthetic,isi saldo emoney,16
flazz,transportasi,synthetic,flazz,5
emoney mandiri,transportasi,synthetic,emoney mandiri,14
tapcash,transportasi,synthetic,tapcash,7
brizzi,transportasi,synthetic,brizzi,6
isi kartu krl,transportasi,synthetic,isi kartu krl,13
isi kartu mrt,transportasi,synthetic,isi kartu mrt,13
denda parkir,transportasi,synthetic,denda parkir,12
tilang,transportasi,synthetic,tilang,6
biaya sim,transportasi,synthetic,biaya sim,9
bensin,transportasi,synthetic,bensin,6
isi bensin,transportasi,synthetic,isi bensin,10
beli bensin,transportasi,synthetic,beli bensin,11
bensin pertamax,transportasi,synthetic,bensin pertamax,15
bensin pertalite,transportasi,synthetic,bensin pertalite,16
bensin premium,transportasi,synthetic,bensin premium,14
solar,transportasi,synthetic,solar,5
isi solar,transportasi,synthetic,isi solar,9
bbm,transportasi,synthetic,bbm,3
isi bbm,transportasi,synthetic,isi bbm,7
pertamina,transportasi,synthetic,pertamina,9
shell,transportasi,synthetic,shell,5
vivo bbm,transportasi,synthetic,vivo bbm,8
isi full tank,transportasi,synthetic,isi full tank,13
bensin motor,transportasi,synthetic,bensin motor,12
bensin mobil,transportasi,synthetic,bensin mobil,12
isi tangki,transportasi,synthetic,isi tangki,10
beli solar,transportasi,synthetic,beli solar,10
pertamax plus,transportasi,synthetic,pertamax plus,13
dex pertamina,transportasi,synthetic,dex pertamina,13
gojek,transportasi,synthetic,gojek,5
grab motor,transportasi,synthetic,grab motor,10
grab car,transportasi,synthetic,grab car,8
gocar,transportasi,synthetic,gocar,5
maxim,transportasi,synthetic,maxim,5
indriver,transportasi,synthetic,indriver,8
blu jek,transportasi,synthetic,blu jek,7
ojek online,transportasi,synthetic,ojek online,11
ojol,transportasi,synthetic,ojol,4
naik grab,transportasi,synthetic,grab,4
pesan gojek,transportasi,synthetic,pesan gojek,11
order grab,transportasi,synthetic,order grab,10
naik gojek,transportasi,synthetic,gojek,5
ojek ke kantor,transportasi,synthetic,ojek kantor,11
grab ke mall,transportasi,synthetic,grab mall,9
taksi online,transportasi,synthetic,taksi online,12
ride sharing,transportasi,synthetic,ride sharing,12
naik ojek,transportasi,synthetic,ojek,4
ongkos ojek,transportasi,synthetic,ongkos ojek,11
bayar grab,transportasi,synthetic,bayar grab,10
busway,transportasi,synthetic,busway,6
transjakarta,transportasi,synthetic,transjakarta,12
bis kota,transportasi,synthetic,bis kota,8
angkot,transportasi,synthetic,angkot,6
kereta commuter,transportasi,synthetic,kereta commuter,15
commuterline,transportasi,synthetic,commuterline,12
krl,transportasi,synthetic,krl,3
