text,category,amount
bayar bpjs kesehatan,kesehatan,132700
beli sampo,belanja,192938
bootcamp programming,pendidikan,449485
naik gojek,transportasi,230385
donasi masjid,sosial,169890
top up higgs domino,hiburan,360513
naik becak,transportasi,498021
bayar listrik pln,tagihan,443411
bayar token,tagihan,488973
kasih uang ke orang tua,sosial,334154
makan seafood,makanan,345726
belanja di shopee,belanja,128791
grabfood,makanan,478139
bayar microsoft 365,tagihan,397028
gado gado,makanan,468541
kasih uang ke orang tua,sosial,399435
beli power bank,belanja,167922
rawat jalan,kesehatan,193048
biaya laundry kiloan,lainnya,238838
kopi keliling,makanan,58893
beli mesin kopi,belanja,91268
biaya transfer antar bank,lainnya,306828
batagor,makanan,42149
bayar paylater,tagihan,261378
naik gojek,transportasi,225434
beli power bank,belanja,311881
kondangan nikahan teman,sosial,169199
roti canai,makanan,63369
spooring balancing,transportasi,106773
gudeg jogja,makanan,129782
pecel lele,makanan,432831
naik ojek pangkalan,transportasi,378210
gado gado,makanan,161960
beli payung,belanja,404964
kasih hadiah,sosial,284068
beli buku tulis,lainnya,183655
sedekah,sosial,35359
langganan netflix,hiburan,47584
beli tiket pesawat,transportasi,292276
bayar spp,pendidikan,370304
top up free fire,hiburan,46979
kasih hadiah,sosial,456437
beli manga,hiburan,274997
bootcamp ui ux,pendidikan,378874
bayar denda,lainnya,454962
beli sabun mandi,belanja,435204
beli mesin kopi,belanja,257627
thai tea,makanan,216694
top up free fire,hiburan,31531
ganti oli motor,transportasi,183628
beli ibuprofen,kesehatan,256124
service mobil,transportasi,248727
bayar wifi indihome,tagihan,279893
kursus bahasa inggris,pendidikan,185862
gado gado,makanan,91574
beli kemeja kerja,belanja,405954
boba,makanan,78158
pecel lele,makanan,52662
bayar akulaku,tagihan,28192
servis rem mobil,transportasi,434549
tiket konser musik,hiburan,413166
lontong sayur,makanan,50580
top up mobile legends,hiburan,14963
terapi pijat,kesehatan,477137
tiket kapal laut,transportasi,105969
ayam geprek,makanan,394240
pijat refleksi,kesehatan,456812
sewa motor harian,transportasi,178429
indomie goreng,makanan,89715
checkout shopee,belanja,195151
bayar spp,pendidikan,79278
fisioterapi,kesehatan,167650
beli laptop,belanja,338771
nongkrong di kafe bareng teman,sosial,74572
potong rambut,lainnya,222048
langganan udemy,pendidikan,171030
iuran warga,sosial,186773
bimbel online,pendidikan,159891
beli alat tulis,belanja,268084
top up mobile legends,hiburan,429942
traktir teman makan,sosial,415937
kursus online,pendidikan,360190
bayar kartu kredit bca,tagihan,358268
bayar wifi,tagihan,218336
biaya notaris,lainnya,82443
ikan bakar,makanan,121619
beli parfum,belanja,220820
ukt kuliah,pendidikan,254646
kasih hadiah,sosial,291448
cetak foto,lainnya,435787
bayar internet,tagihan,410032
uang amplop nikahan,sosial,7333
rental mobil,transportasi,167154
top up higgs domino,hiburan,224223
beli paket data,tagihan,432706
main ke bioskop,hiburan,23244
tiket bioskop xxi,hiburan,155004
beli payung,belanja,218904
cicilan mobil,tagihan,131980
beli rak sepatu,belanja,455681
tiket kereta,transportasi,355682
bayar cicilan mobil,tagihan,68897
isi angin ban,transportasi,313556
biaya tukang,lainnya,367028
jalan jalan,hiburan,73037
biaya admin bank,lainnya,443265
beli skincare korea,belanja,83113
beli buah jeruk,makanan,307698
jalan jalan,hiburan,107055
les calistung,pendidikan,47266
ayam bakar,makanan,471465
beli laptop pelajar,pendidikan,306926
periksa ke dokter umum,kesehatan,356333
gorengan,makanan,130541
bootcamp ui ux,pendidikan,272741
mie ayam,makanan,143873
beli manga,hiburan,498304
biaya aplikasi,lainnya,49060
ayam geprek,makanan,193208
bayar gym membership,hiburan,493020
kado ulang tahun teman,sosial,5569
ketoprak,makanan,307100
naik kapal ferry,transportasi,132561
beli sabun mandi,belanja,9245
beli pulpen,lainnya,199521
main ke bioskop,hiburan,405767
makan all you can eat,makanan,65058
langganan spotify premium,hiburan,130010
biaya tukang,lainnya,239162
donasi,sosial,230256
biaya admin bank,lainnya,55849
biaya kuliah,pendidikan,322282
bayar pajak kendaraan,transportasi,415326
beli paket data,tagihan,239218
beli pulpen,lainnya,240702
biaya notaris,lainnya,231137
kursus ai,pendidikan,132100
beli charger hp,belanja,264694
beli laptop,belanja,204944
patungan gathering,sosial,392750
print dokumen,lainnya,300008
uang amplop nikahan,sosial,325501
bayar wifi,tagihan,333200
isi saldo e-toll,transportasi,413116
beli charger hp,belanja,44231
senam terapi,kesehatan,82360
bayar kost bulanan,tagihan,275155
fisioterapi,kesehatan,168387
beli vitamin c,kesehatan,468125
checkout tokopedia,belanja,286829
langganan spotify premium,hiburan,44343
kondangan nikahan teman,sosial,467499
beli buku sekolah,pendidikan,212986
beli vacuum cleaner,belanja,293409
parkir motor,transportasi,426585
kasih hadiah,sosial,338416
beli game steam,hiburan,77141
roti canai,makanan,88876
warteg,makanan,387589
sewa bus pariwisata,transportasi,201768
sewa bus pariwisata,transportasi,105168
belanja di shopee,belanja,494083
jajanan pasar,makanan,175017
checkout tokopedia,belanja,231507
sewa elf,transportasi,427843
beli iphone,belanja,350999
donasi masjid,sosial,122710
beli manga,hiburan,137985
donasi,sosial,389021
beli mesin kopi,belanja,79572
warteg,makanan,20622
tiket konser musik,hiburan,389272
beli piring,belanja,452393
beli ibuprofen,kesehatan,9030
sewa bus pariwisata,transportasi,422346
bayar listrik pln,tagihan,356185
nasi goreng,makanan,324360
donasi masjid,sosial,147596
warung makan,makanan,63650
service mobil,transportasi,325483
rawat inap rs,kesehatan,447753
roti canai,makanan,227075
es teh,makanan,270229
tes antigen,kesehatan,208117
kasih hadiah,sosial,87475
ukt kuliah,pendidikan,372858
beli air fryer,belanja,248926
vaksin influenza,kesehatan,108427
kasih hadiah,sosial,448294
les privat matematika,pendidikan,141720
bayar paylater,tagihan,462290
senam terapi,kesehatan,334226
bimbingan belajar,pendidikan,7723
beli buku pelajaran,pendidikan,499390
biaya transfer antar bank,lainnya,44157
naik mrt,transportasi,122776
naik krl,transportasi,296394
makan seafood,makanan,184768
beli iphone,belanja,312821
bayar listrik pln,tagihan,310934
kondangan nikahan teman,sosial,98827
liburan keluarga,hiburan,85842
ganti oli gardan,transportasi,14040
beli hampers,sosial,21179
traktir teman makan,sosial,294860
beli power bank,belanja,130758
beli manga,hiburan,405480
beli hampers,sosial,230209
les privat matematika,pendidikan,116048
staycation hotel,hiburan,341062
bayar bpjs kesehatan,kesehatan,95111
bantu keluarga,sosial,337839
es teh,makanan,483746
biaya notaris,lainnya,474638
beli alat tulis,belanja,437499
ayam rica rica,makanan,6701
beli kaos polos,belanja,243459
biaya transfer antar bank,lainnya,75456
kursus bahasa inggris,pendidikan,131337
print dokumen,lainnya,247243
boba,makanan,121876
bayar indihome,tagihan,406514
bootcamp programming,pendidikan,436769
isi bensin pertalite,transportasi,473010
bootcamp ui ux,pendidikan,137477
bayar paylater,tagihan,62616
kursus mengaji,pendidikan,288410
healing ke pantai,hiburan,280615
biaya kuliah,pendidikan,202161
makan all you can eat,makanan,143091
beli air fryer,belanja,159739
tiket bioskop xxi,hiburan,197854
makan malam bersama teman,sosial,402897
beli vacuum cleaner,belanja,260825
ketoprak,makanan,46291
beli buku tulis,lainnya,302058
bimbingan belajar,pendidikan,92664
cicilan mobil,tagihan,228976
beli buah jeruk,makanan,90277
bayar kost bulanan,tagihan,162549
kopi keliling,makanan,345723
siomay,makanan,130140
healing ke pantai,hiburan,274864
mie sedaap,makanan,490171
bayar microsoft 365,tagihan,449141
naik mrt,transportasi,136807
gado gado,makanan,287579
fisioterapi,kesehatan,430600
beli laptop pelajar,pendidikan,13247
beli hampers,sosial,64877
sedekah,sosial,288925
bayar arisan,sosial,260155
bayar karaoke,hiburan,327137
lontong sayur,makanan,36959
warteg,makanan,455696
beli sandal,belanja,364493
beli power bank,belanja,43724
boba,makanan,313512
gofood,makanan,205078
bayar microsoft 365,tagihan,348918
bantu keluarga,sosial,272796
beli parfum,belanja,333623
tiket lion air,transportasi,396084
beli vitamin c,kesehatan,79383
bimbingan belajar,pendidikan,62341
warung padang,makanan,346911
mie ayam,makanan,291046
langganan spotify family,hiburan,461150
biaya kuliah,pendidikan,98133
spooring balancing,transportasi,47942
top up free fire,hiburan,18586
main ke bioskop,hiburan,189311
service ac,lainnya,428719
bayar tol,transportasi,341985
isi saldo e-toll,transportasi,436025
iuran keamanan,sosial,347396
service ac,lainnya,256492
bootcamp programming,pendidikan,261178
beli kaos polos,belanja,328726
rental mobil,transportasi,259068
indomie goreng,makanan,269979
kasih hadiah,sosial,205791
langganan udemy,pendidikan,413509
rendang,makanan,391171
checkout shopee,belanja,57694
parkir motor,transportasi,31363
checkout shopee,belanja,289475
warteg,makanan,442568
bayar kartu kredit bca,tagihan,256555
sedekah,sosial,426704
nongkrong di kafe bareng teman,sosial,167618
potong rambut,lainnya,421728
tiket kapal laut,transportasi,287810
bayar gym membership,hiburan,494554
beli dispenser,belanja,161529
print dokumen,lainnya,416957
kasih hadiah,sosial,67600
uang semester,pendidikan,215137
les privat bahasa inggris,pendidikan,54021
bayar bpjs kesehatan,kesehatan,431343
pempek,makanan,136813
donasi,sosial,431523
bayar gym membership,hiburan,131740
ukt kuliah,pendidikan,217875
bayar air,tagihan,339868
bayar spp,pendidikan,332697
naik kapal ferry,transportasi,108981
parkir motor,transportasi,260616
naik gojek,transportasi,441674
naik krl,transportasi,399147
beli hampers,sosial,145164
bayar cicilan motor,tagihan,106088
pengeluaran tidak terduga,lainnya,326726
beli laptop,belanja,377130
langganan spotify premium,hiburan,155407
makan seafood,makanan,169981
beli vacuum cleaner,belanja,123287
biaya laundry kiloan,lainnya,35718
main arcade,hiburan,80275
warung nasi,makanan,355152
sewa motor harian,transportasi,317188
spp sekolah,pendidikan,142133
uang amplop nikahan,sosial,64110
biaya admin bank,lainnya,219580
kado ulang tahun teman,sosial,473854
beli pulpen,lainnya,428413
boba,makanan,269951
bootcamp programming,pendidikan,44855
uang semester,pendidikan,308637
beli charger hp,belanja,457998
warteg,makanan,476295
bayar wifi,tagihan,224092
naik ojek pangkalan,transportasi,130433
bayar kredivo,tagihan,410308
terapi pijat,kesehatan,96486
biaya praktikum kampus,pendidikan,41259
iuran warga,sosial,293214
staycation hotel,hiburan,82253
kursus excel,pendidikan,326842
beli kaos polos,belanja,71189
mie sedaap,makanan,242717
belanja di tokopedia,belanja,18120
service mobil,transportasi,295179
bayar arisan,sosial,235738
top up steam wallet,hiburan,476166
rawat inap rs,kesehatan,411042
beli ibuprofen,kesehatan,86568
naik becak,transportasi,283466
beli sepatu sneakers,belanja,169897
naik grab,transportasi,82369
beli obat di apotek,kesehatan,230480
top up mobile legends,hiburan,305900
vaksin influenza,kesehatan,237318
isi bensin pertalite,transportasi,492004
main arcade,hiburan,381894
bantu keluarga,sosial,459050
bayar token,tagihan,411308
top up higgs domino,hiburan,244659
les privat bahasa inggris,pendidikan,429770
beli pulsa telkomsel,tagihan,299066
beli hampers,sosial,334007
staycation hotel,hiburan,226907
bayar token,tagihan,238561
bayar karaoke,hiburan,129591
pengeluaran tidak terduga,lainnya,110625
cilok,makanan,38306
beli obat demam,kesehatan,53996
beli dispenser,belanja,30713
bayar spp,pendidikan,421796
kasih hadiah,sosial,110209
uang amplop nikahan,sosial,335175
boba,makanan,8770
cek mata,kesehatan,279762
beli susu lansia,kesehatan,225704
terapi pijat,kesehatan,418365
beli earphone,belanja,330525
beli token listrik,tagihan,317952
top up higgs domino,hiburan,77560
tiket lion air,transportasi,437922
pengeluaran tidak terduga,lainnya,253012
langganan ruangguru,pendidikan,162156
kursus excel,pendidikan,329332
beli manga,hiburan,271734
beli sabun mandi,belanja,22152
beli charger hp,belanja,334382
laundry express,lainnya,46395
bayar pdam,tagihan,280516
traktir teman makan,sosial,167157
donasi masjid,sosial,227075
donasi,sosial,334294
belanja tiktok shop,belanja,150834
warung padang,makanan,91317
boba,makanan,459286
bayar denda,lainnya,374363
beli air fryer,belanja,271200
ayam bakar,makanan,158878
healing ke pantai,hiburan,478942
makan malam bersama teman,sosial,180642
beli buku pelajaran,pendidikan,56699
biaya operasi,kesehatan,480184
bayar gym membership,hiburan,351512
nasi goreng,makanan,465990
bayar derek,transportasi,241350
beli pulsa telkomsel,tagihan,404433
sewa bus pariwisata,transportasi,346027
kasih uang ke orang tua,sosial,53937
kursus coding,pendidikan,485719
healing ke pantai,hiburan,18780
bayar cicilan mobil,tagihan,316282
biaya notaris,lainnya,205660
kelas online,pendidikan,313590
bayar bpjs kesehatan,tagihan,82477
beli manga,hiburan,295739
main arcade,hiburan,123211
kado ulang tahun teman,sosial,78407
bayar wifi indihome,tagihan,483568
rawat inap rs,kesehatan,195997
bayar listrik pln,tagihan,305191
beli vitamin c,kesehatan,71160
belanja di tokopedia,belanja,414744
roti canai,makanan,452171
beli parfum,belanja,395439
biaya admin bank,lainnya,483901
tes urine,kesehatan,462850
fotocopy ktp,lainnya,268245
langganan youtube premium family,hiburan,152729
rawat inap rs,kesehatan,14825
sedekah,sosial,158139
fisioterapi,kesehatan,42788
rawat jalan,kesehatan,420058
langganan spotify premium,hiburan,303991
bayar arisan,sosial,236360
belanja di shopee,belanja,199516
makan all you can eat,makanan,495478
biaya laundry kiloan,lainnya,277466
beli sandal,belanja,250540
beli mesin kopi,belanja,312724
print dokumen,lainnya,439533
soto ayam,makanan,424371
warung padang,makanan,456465
sewa motor harian,transportasi,47245
bayar arisan,sosial,404888
kado ulang tahun teman,sosial,333298
biaya aplikasi,lainnya,171347
bayar parkir,transportasi,84078
main ke bioskop,hiburan,117496
nongkrong di kafe bareng teman,sosial,125034
langganan udemy,pendidikan,294774
tiket lion air,transportasi,165107
donasi,sosial,240706
bayar karaoke,hiburan,110691
spp sekolah,pendidikan,204576
beli laptop,belanja,344556
beli pulsa telkomsel,tagihan,220155
kopi keliling,makanan,124484
sedekah jumat,sosial,320096
bayar arisan,sosial,169930
potong rambut,lainnya,414697
biaya operasi,kesehatan,488909
bayar cicilan mobil,tagihan,374571
beli vitamin c,kesehatan,327441
nongkrong di kafe bareng teman,sosial,373940
langganan udemy,pendidikan,46428
beli kaos polos,belanja,103347
beli laptop,belanja,304786
sewa bus pariwisata,transportasi,189422
bayar internet,tagihan,172001
bayar air,tagihan,101878
beli vacuum cleaner,belanja,382974
beli air fryer,belanja,419841
lontong sayur,makanan,406517
tiket kapal laut,transportasi,390159
bayar cicilan mobil,tagihan,302775
bayar potong rambut,lainnya,296695
es kopi susu gula aren,makanan,183349
bimbingan belajar,pendidikan,65853
beli piring,belanja,345701
bayar hosting web,tagihan,471228
gado gado,makanan,109248
nasi goreng,makanan,410445
cek mata,kesehatan,487954
pijat refleksi,kesehatan,85872
langganan netflix,hiburan,266115
potong rambut,lainnya,368625
beli pulpen,lainnya,375767
cetak foto,lainnya,16429
bayar cicilan motor,tagihan,297598
kondangan nikahan teman,sosial,372787
bayar wifi biznet,tagihan,63829
beli sepatu sneakers,belanja,78797
kasih hadiah,sosial,243391
beli rak sepatu,belanja,199264
naik kapal ferry,transportasi,85211
bayar kost bulanan,tagihan,83233
ganti oli gardan,transportasi,477478
isi bensin pertalite,transportasi,264158
liburan keluarga,hiburan,21979
bayar bpjs kesehatan,kesehatan,189037
beli pulpen,lainnya,387117
bayar paylater,tagihan,223274
bayar wifi indihome,tagihan,253260
bayar spp,pendidikan,276999
service mobil,transportasi,214533
biaya laundry kiloan,lainnya,59906
main ke bioskop,hiburan,474047
bayar wifi,tagihan,388317
sewa bus pariwisata,transportasi,404606
donasi masjid,sosial,328001
main ke bioskop,hiburan,468800
biaya admin bank,lainnya,241934
bayar bpjs kesehatan,kesehatan,204703
bayar akulaku,tagihan,482929
bayar arisan,sosial,261713
beli obat anak,kesehatan,18764
fisioterapi,kesehatan,386356
laundry,lainnya,62133
beli obat demam,kesehatan,116536
cicilan mobil,tagihan,437854
jajanan pasar,makanan,347598
beli pulpen,lainnya,486705
bayar pajak kendaraan,transportasi,335010
liburan keluarga,hiburan,383078
belanja di shopee,belanja,294021
camping di gunung,hiburan,89965
beli earphone,belanja,237460
naik becak,transportasi,199285
naik mrt,transportasi,124266
beli obat demam,kesehatan,324713
beli ibuprofen,kesehatan,198324
ganti oli motor,transportasi,303765
beli rak sepatu,belanja,216030
kado ulang tahun teman,sosial,409451
bayar bpjs kesehatan,tagihan,364700
beli paracetamol,kesehatan,99589
kursus coding,pendidikan,300676
beli vitamin c,kesehatan,177852
biaya notaris,lainnya,172099
kopi keliling,makanan,254184
beli alat tulis,belanja,314424
beli pulpen,lainnya,97327
beli buku pelajaran,pendidikan,297020
rawat inap rs,kesehatan,313738
kursus data science,pendidikan,460854
beli skincare korea,belanja,343868
cilok,makanan,226846
beli sepatu sneakers,belanja,251420
potong rambut,lainnya,256150
bayar potong rambut,lainnya,274200
fotocopy ktp,lainnya,226970
beli payung,belanja,263890
isi angin ban,transportasi,68626
batagor,makanan,415195
jajanan pasar,makanan,344757
senam terapi,kesehatan,226740
beli sampo,belanja,345388
checkout tokopedia,belanja,20176
staycation hotel,hiburan,451256
terapi pijat,kesehatan,392407
ayam geprek,makanan,359785
beli paket data,tagihan,132117
beli hampers,sosial,337552
beli vitamin ibu hamil,kesehatan,487224
beli parfum,belanja,396895
beli sabun mandi,belanja,292949
bayar pdam,tagihan,494567
patungan makan,sosial,135161
patungan makan,sosial,439363
terapi pijat,kesehatan,335766
parkir motor,transportasi,31936
thai tea,makanan,90669
checkout shopee,belanja,359588
langganan udemy,pendidikan,11470
kursus online,pendidikan,193355
beli kaos polos,belanja,308863
beli ibuprofen,kesehatan,189519
beli obat anak,kesehatan,202488
biaya praktikum kampus,pendidikan,94854
cek mata,kesehatan,214049
naik kapal ferry,transportasi,117172
belanja di indomaret,makanan,183389
checkout tokopedia,belanja,371084
nasi goreng,makanan,29025
cetak foto,lainnya,188753
isi bensin pertalite,transportasi,275861
tes urine,kesehatan,6486
kursus data science,pendidikan,177944
bootcamp programming,pendidikan,190829
naik mrt,transportasi,353106
cicilan mobil,tagihan,428056
biaya admin bank,lainnya,71157
gado gado,makanan,10069
checkout shopee,belanja,205563
beli game steam,hiburan,231816
es kopi susu gula aren,makanan,56599
bayar pdam,tagihan,485900
beli sepatu sneakers,belanja,36267
laundry express,lainnya,129543
beli merchandise konser,hiburan,197061
service mobil,transportasi,58785
beli pulsa telkomsel,tagihan,400515
bootcamp ui ux,pendidikan,369708
kursus excel,pendidikan,178852
pempek,makanan,241708
service ac,lainnya,15607
biaya kuliah,pendidikan,446247
beli vitamin c,kesehatan,53879
biaya transfer antar bank,lainnya,30842
rendang,makanan,40924
beli vitamin ibu hamil,kesehatan,234511
beli susu lansia,kesehatan,31972
beli alat tulis,belanja,374838
beli kemeja kerja,belanja,219180
mie ayam,makanan,104561
isi bensin pertalite,transportasi,277587
cetak foto,lainnya,34448
beli obat demam,kesehatan,297932
cetak foto,lainnya,129778
print dokumen,lainnya,31023
rawat inap rs,kesehatan,305626
iuran keamanan,sosial,398112
main arcade,hiburan,250948
mie sedaap,makanan,429374
biaya laundry kiloan,lainnya,446894
naik grab,transportasi,68258
beli parfum,belanja,173326
biaya admin bank,lainnya,436842
beli buku tulis,lainnya,224799
bayar kredivo,tagihan,400819
tes antigen,kesehatan,242877
iuran keamanan,sosial,38487
belanja di shopee,belanja,186175
kopi keliling,makanan,59309
ukt kuliah,pendidikan,210066
bayar wifi indihome,tagihan,384891
bayar denda,lainnya,304904
makan malam bersama teman,sosial,449539
ukt kuliah,pendidikan,168520
bayar kartu kredit bca,tagihan,452996
kontrol dokter,kesehatan,281265
isi saldo e-toll,transportasi,308397
vaksin influenza,kesehatan,332322
biaya laundry kiloan,lainnya,475302
beli dispenser,belanja,173989
fotocopy,lainnya,255603
top up free fire,hiburan,377978
beli vitamin c,kesehatan,310523
bayar gym membership,hiburan,495071
beli buku tulis,lainnya,53223
bayar air,tagihan,223387
bayar potong rambut,lainnya,478315
bayar karaoke,hiburan,275209
fotocopy ktp,lainnya,58088
bayar indihome,tagihan,7716
bakso solo,makanan,226187
bayar wifi indihome,tagihan,247419
beli obat anak,kesehatan,378373
fotocopy,lainnya,224483
beli wajan,belanja,66171
bimbingan belajar,pendidikan,363837
langganan ruangguru,pendidikan,427664
kondangan nikahan teman,sosial,307737
roti canai,makanan,161471
biaya notaris,lainnya,144047
warteg,makanan,166616
pempek,makanan,486555
nonton konser,hiburan,217909
bayar karaoke,hiburan,258202
bayar bpjs kesehatan,tagihan,355882
isi saldo e-toll,transportasi,297590
beli sampo,belanja,316974
beli pulsa telkomsel,tagihan,380871
bayar arisan,sosial,294359
uang amplop nikahan,sosial,261617
tiket lion air,transportasi,37645
beli susu lansia,kesehatan,451465
patungan gathering,sosial,76895
bayar internet,tagihan,462774
kursus online,pendidikan,484409
laundry,lainnya,346295
sewa bus pariwisata,transportasi,346707
iuran keamanan,sosial,407186
main arcade,hiburan,228407
ikut workshop,pendidikan,270610
belanja di tokopedia,belanja,65880
bayar denda,lainnya,305267
belanja tiktok shop,belanja,144267
nongkrong di kafe bareng teman,sosial,309491
bayar denda,lainnya,289229
beli paket data,tagihan,162672
mie ayam,makanan,490366
bayar air,tagihan,178373
liburan keluarga,hiburan,223411
sedekah,sosial,404231
spp sekolah,pendidikan,238169
langganan udemy,pendidikan,358198
beli samsung,belanja,136264
sedekah,sosial,225104
biaya laundry kiloan,lainnya,417625
spp sekolah,pendidikan,423410
bayar tol,transportasi,270269
uang semester,pendidikan,441922
beli token listrik,tagihan,401455
ikan bakar,makanan,428360
bayar wifi biznet,tagihan,307846
kursus mengaji,pendidikan,298358
top up free fire,hiburan,76160
laundry,lainnya,232098
pengeluaran tidak terduga,lainnya,140206
beli parfum lokal,belanja,59840
beli paket data,tagihan,138691
ikan bakar,makanan,268638
tes urine,kesehatan,32454
beli samsung,belanja,251369
kado ulang tahun teman,sosial,76087
bimbingan belajar,pendidikan,161907
warteg,makanan,329734
kasih uang ke orang tua,sosial,389269
cilok,makanan,232836
beli laptop,belanja,396520
bayar tol,transportasi,222510
makan all you can eat,makanan,366689
indomie goreng,makanan,112090
beli charger hp,belanja,52255
nongkrong di kafe bareng teman,sosial,13750
top up higgs domino,hiburan,340015
beli paket data,tagihan,442686
bayar air,tagihan,361670
beli token listrik,tagihan,212591
potong rambut,lainnya,36973
tes antigen,kesehatan,137118
bayar listrik pln,tagihan,355112
print dokumen,lainnya,426473
bayar listrik pln,tagihan,78471
beli dispenser,belanja,358583
beli pulsa telkomsel,tagihan,439085
donasi,sosial,50449
beli kemeja kerja,belanja,52881
warung makan,makanan,393786
bantu keluarga,sosial,301563
beli rak sepatu,belanja,158019
bayar microsoft 365,tagihan,344888
healing ke pantai,hiburan,336211
cetak foto,lainnya,291809
fotocopy ktp,lainnya,405582
bayar kartu kredit bca,tagihan,270979
ukt kuliah,pendidikan,93743
beli vitamin c,kesehatan,269528
potong rambut,lainnya,208175
bayar indihome,tagihan,451200
bimbingan belajar,pendidikan,194333
beli sampo,belanja,352384
beli sampo,belanja,234699
top up mobile legends,hiburan,63121
naik kapal ferry,transportasi,160008
beli kaos polos,belanja,405088
langganan spotify premium,hiburan,341306
tiket bioskop xxi,hiburan,310840
beli sepatu sneakers,belanja,149833
top up free fire,hiburan,409488
bayar indihome,tagihan,351141
rawat inap rs,kesehatan,387527
beli manga,hiburan,457008
liburan keluarga,hiburan,43666
top up steam wallet,hiburan,407538
patungan gathering,sosial,385626
liburan ke bali,hiburan,269375
kursus ai,pendidikan,421832
bayar akulaku,tagihan,462231
bayar cicilan mobil,tagihan,88737
beli game steam,hiburan,282589
fotocopy,lainnya,424666
biaya notaris,lainnya,417379
bayar internet,tagihan,453867
beli obat di apotek,kesehatan,407312
beli parfum lokal,belanja,291574
bayar token,tagihan,123316
bootcamp ui ux,pendidikan,294448
bayar kredivo,tagihan,472315
terapi pijat,kesehatan,58026
beli vitamin ibu hamil,kesehatan,125644
rental mobil,transportasi,185227
bayar wifi indihome,tagihan,425476
biaya notaris,lainnya,113502
beli pulpen,lainnya,203382
beli paket data,tagihan,287989
kursus coding,pendidikan,491941
gudeg jogja,makanan,404487
beli susu lansia,kesehatan,336964
bayar parkir,transportasi,148818
beli parfum lokal,belanja,142448
healing ke pantai,hiburan,154814
spp sekolah,pendidikan,13987
cek mata,kesehatan,222151
bakso solo,makanan,357159
naik mrt,transportasi,127942
beli payung,belanja,176969
naik grab,transportasi,205820
fotocopy ktp,lainnya,194178
senam terapi,kesehatan,498568
jalan jalan,hiburan,9287
beli obat demam,kesehatan,322418
bayar cicilan mobil,tagihan,409317
bootcamp ui ux,pendidikan,370552
kasih hadiah,sosial,10024
belanja di tokopedia,belanja,60917
bayar listrik pln,tagihan,239063
beli pulpen,lainnya,190568
sewa motor harian,transportasi,411135
beli alat tulis,belanja,221033
kursus excel,pendidikan,8346
ketoprak,makanan,279088
donasi,sosial,427282
biaya sertifikasi,pendidikan,258192
patungan gathering,sosial,112712
cicilan motor,tagihan,46455
rental mobil,transportasi,228735
kasih hadiah,sosial,34066
sewa motor harian,transportasi,424361
bayar pdam,tagihan,476276
bayar tol,transportasi,379103
bayar hosting web,tagihan,376583
biaya operasi,kesehatan,210498
bayar karaoke,hiburan,43551
uang semester,pendidikan,109752
biaya operasi,kesehatan,207670
main arcade,hiburan,485498
cetak foto,lainnya,424008
pecel lele,makanan,212425
les privat bahasa inggris,pendidikan,300289
tebus resep,kesehatan,77123
service mobil,transportasi,60332
spooring balancing,transportasi,480453
bayar arisan,sosial,32151
beli sepatu sneakers,belanja,128087
kondangan nikahan teman,sosial,487289
beli sabun mandi,belanja,354616
cek mata,kesehatan,441221
beli charger hp,belanja,28774
tiket kapal laut,transportasi,93967
kado ulang tahun teman,sosial,124749
beli paracetamol,kesehatan,100108
beli merchandise konser,hiburan,207837
naik gojek,transportasi,444997
belanja tiktok shop,belanja,322931
bantu keluarga,sosial,326019
beli vitamin d,kesehatan,307995
biaya kuliah,pendidikan,457837
siomay,makanan,495055
rendang,makanan,151037
bayar wifi indihome,tagihan,204069
beli pulpen,lainnya,489511
belanja di tokopedia,belanja,132785
bayar internet,tagihan,67291
rawat jalan,kesehatan,103691
fotocopy ktp,lainnya,143042
beli paracetamol,kesehatan,53107
bayar kredivo,tagihan,489447
kursus coding,pendidikan,361355
kado ulang tahun teman,sosial,59107
kopi susu,makanan,374398
beli air fryer,belanja,34422
print dokumen,lainnya,382704
main ke bioskop,hiburan,131211
liburan keluarga,hiburan,198415
sedekah jumat,sosial,368558
tiket dufan,hiburan,411304
beli pulpen,lainnya,238714
kursus online,pendidikan,163771
bakso solo,makanan,339030
kursus online,pendidikan,326219
patungan gathering,sosial,410551
beli earphone,belanja,332950
biaya transfer antar bank,lainnya,73532
langganan spotify premium,hiburan,419769
sedekah jumat,sosial,213517
bimbel online,pendidikan,140653
beli parfum lokal,belanja,435661
bayar wifi biznet,tagihan,166311
top up steam wallet,hiburan,353321
kursus online,pendidikan,454954
naik kapal ferry,transportasi,285040
nasi padang,makanan,451348
kursus ai,pendidikan,404348
biaya operasi,kesehatan,138635
beli buku sekolah,pendidikan,256257
bayar potong rambut,lainnya,234753
pijat refleksi,kesehatan,279707
beli tiket pesawat,transportasi,498601
beli charger hp,belanja,219946
patungan gathering,sosial,334552
es teh,makanan,405290
naik becak,transportasi,64973
beli obat demam,kesehatan,409160
iuran keamanan,sosial,276173
rawat jalan,kesehatan,311899
tiket dufan,hiburan,32357
beli buku tulis,lainnya,68676
bayar kartu kredit bca,tagihan,493305
iuran keamanan,sosial,221560
beli skincare korea,belanja,374041
bayar paylater,tagihan,194679
batagor,makanan,16028
uang amplop nikahan,sosial,224277
healing ke pantai,hiburan,318271
isi bensin pertashop,transportasi,348254
bayar gym membership,hiburan,419911
